Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
0.144114	1.59926e-05 0.000387346	  63.68 33.4222 14.2365 3.95607	65.6203 34.4704  14.413 4.02572	  20.35 12.7786 10.2009 2.61437	-0.727666	
0.145113	1.60316e-05 0.000385085	63.6776 33.4203 14.2358 3.95605	  65.62 34.4697 14.4128 4.02585	20.3487 12.7778 10.2006 2.61446	-0.727666	
0.146114	1.60509e-05  0.00038393	63.6751 33.4185  14.235 3.95604	65.6198 34.4691 14.4127 4.02599	20.3474 12.7769 10.2003 2.61456	-0.727666	
0.147117	1.60701e-05 0.000382761	63.6729 33.4167 14.2343 3.95603	65.6196 34.4684 14.4125 4.02613	20.3461 12.7761    10.2 2.61466	-0.727666	
0.148109	1.60891e-05 0.000381576	63.6707  33.415 14.2337 3.95603	65.6193 34.4677 14.4124 4.02627	20.3448 12.7752 10.1996 2.61476	-0.727666	
0.149116	1.61077e-05 0.000380378	63.6688 33.4134  14.233 3.95604	65.6191  34.467 14.4122 4.02641	20.3434 12.7743 10.1993 2.61485	-0.727666	
0.150106	 1.6126e-05 0.000379165	63.6669 33.4118 14.2323 3.95606	65.6186 34.4656 14.4119  4.0267	65.6186 34.4656 14.4119  4.0267	-0.727666	
0.151068	1.61424e-05 0.000378061	63.6651 33.4103 14.2317 3.95608	65.6186 34.4656 14.4119  4.0267	20.3407 12.7726 10.1987 2.61505	-0.727666	
0.152073	1.61424e-05 0.000378061	63.6568 33.4053 14.2308 3.95596	65.6184 34.4649 14.4118 4.02683	20.3402 12.7723 10.1987 2.61529	-0.727666	
0.153097	1.61779e-05  0.00037557	63.6554  33.404 14.2301   3.956	65.6181 34.4642 14.4116 4.02698	20.3388 12.7714 10.1984 2.61539	-0.727666	
0.154089	1.61954e-05 0.000374305	63.6541 33.4027 14.2295 3.95604	65.6176 34.4627 14.4113 4.02727	65.6176 34.4627 14.4113 4.02727	-0.727666	
0.155097	1.62126e-05 0.000373026	63.6529 33.4015  14.229 3.95609	65.6176 34.4627 14.4113 4.02727	20.3359 12.7695 10.1977 2.61559	-0.727666	
0.156092	1.62312e-05 0.000371606	63.6518 33.4004 14.2284 3.95614	65.6171 34.4612  14.411 4.02759	65.6171 34.4612  14.411 4.02759	-0.727666	
0.157098	1.62463e-05 0.000370433	63.6577 33.4029 14.2282 3.95636	65.6171 34.4612  14.411 4.02759	20.3321  12.767 10.1966 2.61565	-0.727666	
0.158093	1.62629e-05 0.000369119	63.6499 33.3981 14.2273 3.95627	65.6166 34.4597 14.4106 4.02788	65.6166 34.4597 14.4106 4.02788	-0.727666	
