Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.148087	0.0233832  0.112376	 40.2194  39.4711  12.8936  7.04758 -3.97833	-6.41417e-11     -7.62663
0.149093	0.0229648  0.112389	 40.3303  39.8392  13.1652  7.06988 -3.95897	-9.41988e-11     -7.64335
0.150091	0.0225819  0.112398	 40.4322  40.1897  13.4467   7.0482 -3.93008	4.71272e-11    -7.66769
0.151091	0.0222322  0.112406	 40.5305  40.5267  13.7168  7.02627 -3.90254	1.11263e-10    -7.69164
0.152094	0.0218368  0.112413	 40.6309  40.8676  13.9918  7.00448 -3.87429	-0 -0
0.153091	0.0215596  0.112426	 40.6303  40.9148  14.1207  6.85565 -3.81833	-9.53359e-11     -7.73419
0.154091	0.0211199  0.112437	 40.7451  41.2657  14.3474  6.93677 -3.81512	4.76154e-11    -7.73904
0.155091	0.0207723  0.112445	 40.8405  41.5858  14.6046   6.9156 -3.78939	1.25467e-10    -7.76204
0.156099	0.0205038  0.112453	 40.9298  41.8854  14.8434  6.89386 -3.76597	1.72691e-10    -7.76413
0.157105	0.0200891  0.112464	 41.0246  42.2047  15.1166  6.84914 -3.73365	2.6469e-10   -7.81019
0.158094	0.0197626  0.112473	 41.1151  42.5027  15.3562  6.82804 -3.71005	-7.8075e-11    -7.81222
0.159094	0.0195164  0.112484	  41.192    42.78  15.6179  6.73462 -3.67108	-3.50326e-10     -7.86672
0.160092	0.0191501  0.112494	 41.2897  43.0764  15.8239  6.77467 -3.66231	9.02313e-12    -8.05093
0.161094	0.0188089  0.112491	 41.3901  43.3545  15.9566   6.9188 -3.68002	1.35027e-11    -8.03939
0.162094	0.0185146   0.11248	  41.471  43.6211  16.1743  6.89279 -3.65768	9.0003e-12   -8.06063
0.163059	0.0182032  0.112469	 41.5513  43.8838  16.3899  6.86649 -3.63538	4.49093e-12     -8.0816
0.164084	0.0179073  0.112456	 41.6299   44.139  16.6006  6.83913 -3.61325	-0 -0
0.165132	0.017599  0.11245	 41.7053    44.39  16.8232  6.78474 -3.58522	-9.09653e-12     -8.12664
0.166131	0.0173376   0.11244	41.7801 44.6303 17.0212 6.75773 -3.5649	2.27582e-11    -8.14678
0.167082	0.0170073  0.112429	 41.8564  44.8715  17.2199  6.73265 -3.54484	9.09322e-12    -8.16646
0.168084	0.0167331  0.112418	 41.9293   45.102    17.41  6.70628 -3.52557	4.53575e-12     -8.1679
0.169081	0.0165281  0.112409	  41.911   45.054  17.4369  6.60752 -3.49102	-4.59699e-12     -8.19086
0.170054	0.0161902  0.112404	 41.9892  45.2818  17.6008  6.62878 -3.48253	4.59833e-12    -8.20058
0.171081	0.0159275  0.112394	   42.06  45.5023  17.7824  6.60341 -3.46472	9.19358e-12    -8.21961
0.172084	0.0156659  0.112384	 42.1296  45.7171  17.9598   6.5779 -3.44733	1.83486e-11    -8.23837
0.173063	0.0154272  0.112373	 42.1962  45.9265  18.1401  6.53794 -3.42746	4.59626e-12     -8.2589
0.174055	0.0151706  0.112365	 42.2624  46.1302  18.3134    6.504 -3.40918	4.60345e-12     -8.2788
0.175131	0.0149776  0.112357	 42.3268  46.3271  18.4751  6.47829 -3.39402	2.29934e-11    -8.27984
