Timestep 	 x_error[2] 	 command torques[4]
0.254059	 0.00095277 0.000654878	66.8928 37.1261 15.8799 4.61027
0.255092	 0.00095535 0.000654803	66.8923 37.1258 15.8798 4.61025
0.256093	0.000957915 0.000654725	66.8918 37.1255 15.8797 4.61023
0.257117	0.000960463 0.000654645	66.8913 37.1252 15.8796 4.61021
0.258093	0.000963249 0.000654554	66.8908 37.1249 15.8795 4.61019
0.259093	0.000965514 0.000654477	66.8904 37.1247 15.8794 4.61017
0.260058	0.000968015 0.000654389	66.8899 37.1244 15.8793 4.61015
0.261059	0.000970749 0.000654289	66.8894 37.1241 15.8792 4.61013
0.262111	0.000973218 0.000654196	 66.889 37.1239 15.8791 4.61011
0.263105	0.000975672 0.000654101	66.8885 37.1236 15.8791 4.61009
0.264105	0.000978111 0.000654003	66.8881 37.1234  15.879 4.61008
0.265109	0.000980534 0.000653903	66.8877 37.1232 15.8789 4.61006
0.266105	0.000982941 0.000653801	66.8872 37.1229 15.8788 4.61005
0.267103	0.000985334 0.000653697	66.8868 37.1227 15.8787 4.61003
0.268058	0.000987475 0.000653602	66.8864 37.1225 15.8787 4.61002
0.269059	0.000989839 0.000653494	 66.886 37.1222 15.8786    4.61
0.270057	0.000992422 0.000653373	66.8856  37.122 15.8785 4.60999
0.271055	0.000994754 0.000653261	66.8852 37.1218 15.8784 4.60997
0.272056	0.000997072 0.000653147	66.8848 37.1215 15.8784 4.60996
0.27306	0.000999145 0.000653043	66.8844 37.1213 15.8783 4.60995
0.274088	 0.00100166 0.000652914	 66.884 37.1211 15.8782 4.60993
0.275055	 0.00100394 0.000652795	66.8836 37.1209 15.8782 4.60992
0.276055	 0.00100597 0.000652687	66.8833 37.1207 15.8781 4.60991
0.277055	 0.00100822 0.000652565	66.8829 37.1205  15.878  4.6099
0.278055	 0.00101067 0.000652428	66.8825 37.1203  15.878 4.60988
0.279055	 0.00101289 0.000652303	66.8821 37.1201 15.8779 4.60987
0.280055	 0.00101509 0.000652176	66.8818 37.1199 15.8778 4.60986
0.281057	 0.00101706 0.000652061	66.8815 37.1197 15.8778 4.60985
0.282057	 0.00101945 0.000651918	66.8811 37.1195 15.8777 4.60984
0.283055	 0.00102161 0.000651787	66.8807 37.1193 15.8777 4.60983
0.284055	 0.00102354 0.000651668	66.8804 37.1191 15.8776 4.60982
0.285055	 0.00102588 0.000651521	66.8801 37.1189 15.8775 4.60981
0.286107	 0.00102779 0.000651399	66.8798 37.1187 15.8775  4.6098
