Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
0.195094	0.0104749  0.112458	 43.9881  17.1652  4.99011 -3.57661	-1.69168e-10     -8.65833
0.196093	0.0102932  0.112452	 43.8467  17.0858  4.91925 -3.58285	-3.34169e-10      -8.6793
0.197057	0.0101127  0.112447	 43.7091  17.0085  4.85033 -3.58907	3.73621e-10    -8.69977
0.198093	0.00992302   0.112442	  43.575  16.9328  4.78321 -3.59556	6.31948e-11    -8.72003
0.199093	0.00976709   0.112437	 43.4398  16.8569  4.71541 -3.60167	2.87312e-10    -8.74003
0.200093	0.00960112   0.112432	 43.3078  16.7826  4.64928 -3.60789	3.26819e-10    -8.75971
0.201058	0.00944825   0.112428	 43.1776  16.7093  4.58402 -3.61404	-4.88578e-11     -8.77909
0.202096	0.00927116   0.112423	 43.0504  16.6375  4.52027 -3.62036	1.37012e-10    -8.79825
0.203093	0.00913113   0.112418	  42.923  16.5659  4.45638 -3.62626	-4.90041e-11     -8.81701
0.204094	0.00897358   0.112413	 42.7985  16.4957  4.39395 -3.63232	-1.47216e-10     -8.83555
0.205059	0.00889329   0.112409	 42.6758  16.4267  4.33242 -3.63827	-2.35943e-10     -8.85364
0.206094	0.008677 0.112407	 42.5548   16.358  4.27176 -3.64478	-2.77236e-10     -8.87215
0.207092	0.00854606   0.112402	 42.4276  16.2871  4.20786 -3.65011	-3.96839e-10      -8.8902
0.208093	0.00840922   0.112398	 42.3099  16.2208  4.14878 -3.65592	-1.29216e-10     -8.90761
0.209056	0.00826708   0.112394	 42.1948  16.1559  4.09107 -3.66178	-2.29028e-10     -8.92474
0.210092	0.00812819   0.112389	 42.0812  16.0918  4.03409 -3.66759	-1.94517e-10     -8.94163
0.211105	0.00807423   0.112386	 41.9685  16.0283  3.97755 -3.67325	7.49409e-11    -8.95824
0.212062	0.00788231   0.112381	41.8573 15.9651 3.92172 -3.6794	-1.50134e-10     -8.97508
0.213057	0.00774819   0.112377	 41.7484  15.9041  3.86711 -3.68464	-3.15758e-10     -8.99085
0.214094	0.00757607   0.112373	 41.6432  15.8446  3.81435 -3.69034	-2.25878e-10     -9.00658
0.215101	0.00746918   0.112369	41.5371  15.785 3.76106 -3.6956	-5.47906e-10     -9.02201
0.216092	0.00734545   0.112365	 41.4331  15.7263  3.70887 -3.70113	-1.2584e-10    -9.03739
0.217056	0.00726322   0.112361	 41.3306  15.6684  3.65744 -3.70658	-7.05634e-11     -9.05252
0.218058	0.00713472   0.112357	  41.23 15.6113 3.60696 -3.7123	-1.51406e-10     -9.06765
0.219093	0.0070176  0.112353	 41.1306  15.5552  3.55706 -3.71769	2.37488e-10    -9.08234
0.220059	0.00733849   0.112349	 41.0317  15.4994  3.50734 -3.72289	-1.01172e-11     -9.09676
0.221057	0.00680288   0.112345	 40.9365  15.4454  3.45957 -3.72839	-2.63347e-10     -9.11105
0.222088	0.00712181   0.112341	 40.748 15.3389 3.36497 -3.7389	5.57665e-11    -9.12507
0.223092	0.00701913   0.112338	40.6559 15.2868 3.31872 -3.7441	2.68962e-10    -9.13887
0.224092	0.0069167  0.112334	 40.5653  15.2355   3.2732 -3.74927	4.31889e-10    -9.15262
0.225056	0.00639289   0.112332	 40.5653  15.2355   3.2732 -3.74927	-1.68476e-10     -9.16583
0.226092	0.00631791   0.112328	 40.4697  15.1817  3.22508 -3.75427	-7.15796e-11     -9.17957
0.227097	0.00621796   0.112325	40.3805 15.1313 3.18026 -3.7593	-2.25273e-10     -9.19262
0.228094	0.00611669   0.112321	 40.2946  15.0827  3.13713 -3.76433	2.15315e-10    -9.20532
0.229096	0.00644026   0.112318	 40.2099  15.0347  3.09459 -3.76934	-2.51519e-10     -9.21785
0.230093	0.00592816   0.112314	40.1268 14.9875 3.05287 -3.7744	5.65329e-11    -9.23022
0.231094	0.00584829   0.112311	 40.0438  14.9405  3.01117 -3.77928	-2.16109e-10     -9.24241
0.232093	0.00576136   0.112308	39.9627 14.8945 2.97046 -3.7842	1.69993e-10    -9.25441
0.233059	0.00567804   0.112304	 39.8828  14.8492  2.93032 -3.78907	-5.15696e-11     -9.26623
0.23406	0.00559088   0.112301	 39.805 14.8049 2.89127  -3.794	7.22738e-11    -9.27786
0.235094	0.00550034   0.112298	  39.728  14.7611  2.85262 -3.79888	-1.65365e-10     -9.28932
0.236097	0.00543446   0.112295	 39.6509  14.7175  2.81383 -3.80351	1.75871e-10    -9.30058
0.237094	0.00576701   0.112291	 39.5759  14.6749  2.77616 -3.80823	-1.8639e-10    -9.31168
0.238095	0.0052798  0.112288	 39.5028  14.6332  2.73949 -3.81301	-1.34735e-10      -9.3226
0.239093	0.00521055   0.112285	 39.4298  14.5917  2.70279 -3.81765	3.6306e-11   -9.33339
0.240092	0.00513973   0.112282	 39.3581   14.551  2.66677 -3.82226	7.26712e-11    -9.34398
0.241057	0.00506742   0.112279	 39.2881  14.5111  2.63164 -3.82689	2.96106e-10    -9.35441
0.242094	0.00499422   0.112276	 39.2192  14.4718  2.59705 -3.83149	4.88676e-10    -9.36467
0.243134	0.00492361   0.112274	 39.1514  14.4332  2.56297 -3.83604	-1.7239e-10    -9.37476
0.244058	0.00486082   0.112271	   39.08  14.3928  2.52707 -3.84046	4.02683e-10    -9.38508
